user_id,search_query,product_id,purchase_date,age,gender,product_name,product_description,category,price
664,Velit possimus beatae nemo atque.,889,2022-08-18T09:58:59.860Z,49,Male,Unbranded Concrete Gloves,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Kids,238.0
176,Saepe dolorum dicta a quo.,2541,2023-05-10T19:36:23.024Z,24,Male,Licensed Bronze Bacon,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Garden,288.0
965,Laborum nemo expedita corrupti unde.,1281,2023-02-12T02:34:48.157Z,43,Male,Bespoke Metal Table,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Industrial,579.0
498,Totam eveniet quos aperiam sint.,2427,2023-04-14T14:10:26.802Z,66,Male,Refined Fresh Fish,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Outdoors,10.0
150,Qui sunt maxime molestiae consectetur.,2030,2023-05-18T08:59:49.332Z,62,Male,Handcrafted Metal Shirt,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Shoes,460.0
110,At aliquam velit atque eveniet.,1195,2023-04-29T11:33:43.761Z,38,Female,Ergonomic Plastic Towels,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Tools,726.0
735,Aspernatur aliquid dolore ab itaque.,2942,2022-09-10T12:09:33.783Z,47,Male,Generic Metal Ball,The Football Is Good For Training And Recreational Purposes,Health,824.0
266,Pariatur eligendi recusandae assumenda ducimus.,238,2023-05-06T09:53:33.112Z,29,Female,Unbranded Frozen Cheese,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Games,192.0
901,Illo dolore possimus ducimus officiis.,383,2022-08-05T18:49:28.699Z,65,Female,Ergonomic Rubber Computer,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Outdoors,887.0
550,Numquam impedit minus iure nesciunt.,1350,2022-09-29T13:25:33.893Z,63,Male,Small Bronze Chicken,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Shoes,279.0
285,Explicabo quos asperiores nobis nihil.,2812,2023-03-13T04:37:53.095Z,20,Female,Awesome Cotton Chair,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Movies,902.0
977,Ut neque eius possimus odit.,1325,2022-11-23T12:47:49.449Z,45,Male,Generic Bronze Ball,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Outdoors,901.0
636,Nemo debitis enim natus corrupti.,1566,2023-02-14T04:46:46.212Z,54,Male,Small Granite Shirt,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Beauty,569.0
638,Voluptas porro reiciendis recusandae pariatur.,935,2023-05-03T22:05:20.443Z,70,Male,Intelligent Plastic Cheese,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Outdoors,127.0
945,Laborum iure necessitatibus exercitationem sunt.,2809,2023-06-20T01:27:06.542Z,36,Male,Bespoke Bronze Towels,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Grocery,808.0
255,Explicabo ullam voluptatum similique in.,1551,2023-05-26T13:48:25.852Z,28,Female,Small Granite Chicken,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Industrial,282.0
947,Error exercitationem deleniti cupiditate harum.,129,2023-03-03T20:23:32.418Z,39,Male,Electronic Concrete Chicken,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Toys,294.0
804,Deleniti corrupti quod aliquid non.,767,2022-08-27T18:10:52.468Z,62,Female,Tasty Steel Bike,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Health,145.0
429,At reiciendis magnam hic consequatur.,72,2022-09-30T05:27:14.330Z,52,Female,Recycled Steel Sausages,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Jewelery,3.0
528,Veniam molestiae hic quis neque.,15,2022-09-24T04:59:38.985Z,33,Female,Handcrafted Bronze Gloves,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Baby,410.0
694,Ipsam quam voluptatum illum rerum.,2185,2022-07-30T02:34:34.582Z,59,Male,Bespoke Bronze Table,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Health,720.0
589,Placeat fugit dolorum ab a.,598,2023-02-04T20:22:36.877Z,60,Female,Ergonomic Rubber Cheese,The Football Is Good For Training And Recreational Purposes,Electronics,240.0
976,Praesentium asperiores alias rerum dolorem.,2946,2023-05-23T03:57:41.779Z,18,Male,Fantastic Steel Cheese,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Music,479.0
648,Odio tenetur fuga sint labore.,2683,2022-12-28T15:24:53.322Z,64,Male,Modern Bronze Bike,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Sports,613.0
427,Quam possimus aliquam vero reprehenderit.,1424,2023-01-02T04:58:36.727Z,70,Male,Electronic Fresh Towels,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Toys,346.0
605,Sapiente veritatis at a enim.,1156,2023-06-15T02:54:26.333Z,42,Male,Licensed Rubber Bacon,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Movies,459.0
